Group,Variant,score,error
Group1,A,2.692307692,0.327864406
Group1,B,3.071428571,0.245045089
Group1,C,3.538461538,0.243252128
Group1,D,4.384615385,0.310880914
Group2,A,2.769230769,0.302846457
Group2,B,3.285714286,0.285714286
Group2,C,3.461538462,0.351104204
Group2,D,4,0.277350098
Group3,A,3.153846154,0.104154339
Group3,B,3.785714286,0.299790612
Group3,C,3.846153846,0.317161971
Group3,D,4.615384615,0.241216509
Group4,A,3.538461538,0.351104204
Group4,B,3.428571429,0.271630925
Group4,C,4.076923077,0.239163565
Group4,D,3.615384615,0.349696967
